,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G19350,7.122477197,7.293484798,6.439222124,6.602550947,6.235941396,5.771526116,6.076685848,6.0411903,5.790624926,5.96829029,6.26804403,6.686771433,6.518375892,5.454336313,5.677507448,5.937032504,6.027982554,6.555877411,6.659741236,6.564155729,6.540653971
AT1G19490,1.577364209,1.717389535,2.70773166,2.521217462,2.750141249,3.101172124,3.09138236,1.736159275,1.02336432,1.799227371,2.042582295,2.680188783,2.633932207,1.540672489,1.364136749,2.342741427,1.628355704,2.502766075,2.651567305,2.552121629,2.347346042
AT1G19700,4.050851423,4.472626231,5.184283548,5.279470693,6.123416224,5.918545802,6.134594426,4.796633134,4.611120035,4.667336324,4.937956074,4.370669475,4.000714537,3.611061817,3.589849529,5.396789207,5.202053379,5.187264249,5.531985689,4.382661339,4.317333473
AT1G19790,-0.357540763,-1.452535466,-0.751699959,1.012203814,-0.551028286,0.065548215,-0.533108505,-0.753225566,-2.08097234,-0.833040845,0.631949974,-1.4549708,-0.235483684,0.175675672,-1.087559221,-0.648645442,-0.513000145,-0.304588847,-3.129792409,-0.140900617,-0.602613275
AT1G19850,4.987538296,4.546137918,5.168487459,5.019123228,4.442516692,4.282778931,4.481841836,4.73862753,4.307905999,4.898504474,4.815494585,4.055086891,4.511159824,4.491031113,4.22372163,4.374778903,4.39105886,4.450298655,4.030078928,4.794559131,4.735616632
AT1G20640,3.537989971,3.632429201,6.503590943,6.312703045,8.295805265,8.41869504,8.524883217,4.48591393,4.348643624,4.397059672,4.316057121,8.597014932,8.561179955,4.676245985,4.718279469,4.156253828,4.216520637,8.4340439,8.430062633,8.078590618,8.219015778
AT1G20980,5.853058964,5.801520516,5.34281764,5.535765771,4.554506128,4.613984839,5.265633286,5.935428238,5.817477893,5.990538697,5.979166209,4.377919214,4.248951941,6.244372536,6.365590346,5.976541536,6.136784357,4.517121368,4.304835819,4.086635108,4.325972392
AT1G21200,2.520780681,2.584123004,1.859734753,2.385013078,2.314042134,0.550975042,0.689283916,2.204546199,1.972138996,2.79145002,2.531785812,0.381530467,1.018272909,2.444164508,2.863896928,2.118908472,2.675661419,1.391404966,0.570647309,1.834851837,1.364219861
AT1G21450,3.968624325,4.341115653,4.550050254,4.48502481,4.669522789,4.485087106,4.800792231,3.75090586,3.781974908,4.193759215,3.978301543,4.677253492,4.607108419,4.161948689,4.167052606,4.834018483,4.56695516,5.295918798,5.374033329,4.146965642,4.368407658
AT1G21910,2.400486447,3.333445805,2.418225043,4.423769122,1.595813103,2.38747631,0.689283916,-2.868702783,-1.232975433,0.814657411,2.413949322,2.180617773,3.302481338,6.599396439,6.714101595,0.450890231,1.014246858,1.709766446,1.262525014,-0.347351495,0.461517062
AT1G22070,2.296463382,1.975701531,2.521318536,2.413302123,3.560480029,3.524979833,3.09138236,5.553361983,5.541079479,5.784610275,5.619803216,4.78479819,4.667702943,5.618116574,5.652320642,5.104969281,5.105169401,4.488266505,4.432450016,4.214303633,4.433810133
AT1G22190,4.540838333,5.35860308,5.069896886,6.276586264,4.442516692,4.798902555,4.752293713,3.628483757,3.689856706,4.427486705,4.723546615,6.85336823,6.860927394,5.474467268,5.471536648,4.033178598,3.84662024,7.701035702,7.826583749,7.504397547,7.058840949
AT1G22490,-0.744563886,-2.080566689,-0.751699959,-0.185735563,0.101048411,0.550975042,-0.533108505,2.146247558,2.226456185,0.014956062,0.132378965,0.782068397,0.456394021,-0.113830945,0.251242693,0.573746979,0.353733324,0.832914677,-0.322437487,1.309760792,1.223357325
AT1G22590,3.276095585,3.576345654,2.948739759,2.413302123,1.927019011,1.831082961,1.78881959,3.093229176,3.473616512,2.536192965,3.187287306,3.205279828,3.412804753,1.197370743,1.394833547,3.868930219,3.347904245,3.473619729,3.664623458,3.436024565,2.903739391
